BVO 6379:   ,FSI 6379:   ,BVO 6380:   ,FSI 6380:   ,BVO total:,Count total:,% social:,% type50:,% type60:,req parking:,img
17990.06,2.77,3939.54,1.47,21929.6,251,0.41,0.41,0.18,169.48,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_1.png
19583.15,3.01,9389.24,3.51,28972.39,343,0.34,0.34,0.33,277.04,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_2.png
19583.15,3.01,9407.52,3.51,28990.67,346,0.39,0.33,0.27,285.91,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_3.png
17990.06,2.77,3947.67,1.47,21937.73,250,0.45,0.41,0.14,170.03,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_4.png
18580.36,2.86,3947.67,1.47,22528.03,250,0.45,0.26,0.3,172.84,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_5.png
17990.06,2.77,3600.2,1.34,21590.26,250,0.46,0.41,0.13,165.75,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_6.png
19583.15,3.01,8625.71,3.22,28208.86,342,0.42,0.34,0.25,273.32,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_7.png
20351.25,3.13,8625.71,3.22,28976.96,342,0.27,0.49,0.25,276.16,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_8.png
19583.15,3.01,9009.76,3.36,28592.91,342,0.34,0.42,0.25,274.74,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_9.png
18667.61,2.87,9009.76,3.36,27677.37,325,0.3,0.38,0.32,245.45,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_10.png
18094.97,2.79,9009.76,3.36,27104.73,325,0.36,0.38,0.26,243.33,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_11.png
16832.59,2.59,3770.88,1.41,20603.47,238,0.44,0.42,0.14,142.69,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_12.png
17277.97,2.66,3770.88,1.41,21048.85,238,0.37,0.42,0.21,144.81,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_13.png
17646.91,2.72,4075.68,1.52,21722.59,237,0.37,0.31,0.32,150.49,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_14.png
19141.95,2.95,9695.56,3.62,28837.51,328,0.29,0.26,0.45,259.44,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_15.png
18667.61,2.87,9695.56,3.62,28363.17,328,0.29,0.36,0.35,257.69,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_16.png
19663.29,3.03,9695.56,3.62,29358.85,344,0.3,0.36,0.33,278.23,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_17.png
19663.29,3.03,9389.24,3.51,29052.53,342,0.3,0.3,0.39,268.3,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_18.png
17277.97,2.66,3939.54,1.47,21217.51,238,0.37,0.37,0.26,147.12,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_19.png
19832.67,3.05,3939.54,1.47,23772.21,267,0.38,0.38,0.23,186.33,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_20.png
21819.71,3.36,9389.24,3.51,31208.95,364,0.32,0.32,0.37,299.29,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_21.png
21819.71,3.36,9389.24,3.51,31208.95,364,0.32,0.32,0.37,299.29,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_22.png
19832.67,3.05,9389.24,3.51,29221.91,334,0.31,0.31,0.39,261.03,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_23.png
19832.67,3.05,3939.54,1.47,23772.21,267,0.38,0.38,0.23,186.33,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_24.png
19832.67,3.05,4075.68,1.52,23908.35,266,0.39,0.42,0.2,187.95,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_25.png
19832.67,3.05,9695.56,3.62,29528.23,336,0.3,0.37,0.33,270.96,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_26.png
21819.71,3.36,9695.56,3.62,31515.27,366,0.31,0.37,0.31,309.22,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_27.png
19832.67,3.05,9009.76,3.36,28842.43,333,0.31,0.39,0.3,258.72,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_28.png
19832.67,3.05,3770.88,1.41,23603.55,266,0.38,0.43,0.19,184.02,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_29.png
20670.49,3.18,9009.76,3.36,29680.25,372,0.36,0.37,0.26,276.95,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_30.png
18376.87,2.83,9009.76,3.36,27386.63,334,0.33,0.38,0.29,233.75,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_31.png
21809.81,3.36,3770.88,1.41,25580.69,324,0.45,0.39,0.15,222.95,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_32.png
19713.93,3.03,9009.76,3.36,28723.69,359,0.39,0.34,0.27,262.55,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_33.png
19713.93,3.03,9389.24,3.51,29103.17,360,0.39,0.26,0.35,264.85,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_34.png
21809.81,3.36,3939.54,1.47,25749.35,325,0.45,0.35,0.19,225.25,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_35.png
20670.49,3.18,9389.24,3.51,30059.73,373,0.36,0.3,0.34,279.25,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_36.png
18376.87,2.83,9389.24,3.51,27766.11,334,0.33,0.3,0.38,236.05,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_37.png
19905.95,3.06,9389.24,3.51,29295.19,360,0.35,0.3,0.35,264.85,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_38.png
19905.95,3.06,9695.56,3.62,29601.51,362,0.35,0.35,0.3,274.78,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_39.png
21809.81,3.36,4075.68,1.52,25885.49,323,0.46,0.38,0.16,226.87,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWRhttps://ricktitulaer.github.io/Parameterspace/design_explorer_data/alkmaar/IMG_40.png
