in:WWR,in:g,in:Uwin,in:Uwal,in:IntShd,in:ExtShd,in:DaylightCtrl,out:TEDI,out:HDI,out:CDI,out:DF%,out:SGI,img
0.95,0.4,1.6,1.6,IntBlind,None,On,10.045484,1.941231,13.858272,29.983457,82.730726,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.95_g0.4_Uwin1.6_Uwal1.6_IntShdIntBlind_ExtShdNone_DaylightCtrlOn_GH.png
0.8,0.1,0.8,0.15,None,ExtStr+Lvr,On,4.375855,0.766755,6.171561,15.880893,2.044221,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.8_g0.1_Uwin0.8_Uwal0.15_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.8,0.1,0.8,0.26,None,ExtStr+Lvr,On,4.424489,0.810561,6.179817,15.839537,2.044221,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.8_g0.1_Uwin0.8_Uwal0.26_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.8,0.1,1.2,0.15,None,ExtStr+Lvr,On,4.577118,1.290397,5.620292,15.860215,2.044221,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.8_g0.1_Uwin1.2_Uwal0.15_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.6,0.1,0.8,0.15,None,ExtStr+Lvr,On,4.622843,0.51704,7.020924,13.192721,1.702801,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.6_g0.1_Uwin0.8_Uwal0.15_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.8,0.1,0.8,0.9,None,ExtStr+Lvr,On,4.624012,0.983534,6.225217,15.736146,2.044221,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.8_g0.1_Uwin0.8_Uwal0.9_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.8,0.1,1.2,0.26,None,ExtStr+Lvr,On,4.635976,1.342194,5.632367,15.92225,2.044221,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.8_g0.1_Uwin1.2_Uwal0.26_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.6,0.1,0.8,0.26,None,ExtStr+Lvr,On,4.693582,0.600359,6.999413,13.047974,1.702801,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.6_g0.1_Uwin0.8_Uwal0.26_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.6,0.1,1.2,0.15,None,ExtStr+Lvr,On,4.715119,0.912183,6.50302,13.2134,1.702801,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.6_g0.1_Uwin1.2_Uwal0.15_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.4,0.1,0.8,0.15,None,ExtStr+Lvr,On,4.735806,0.270548,7.635591,10.359801,1.187334,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.4_g0.1_Uwin0.8_Uwal0.15_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.4,0.1,1.2,0.15,None,ExtStr+Lvr,On,4.765673,0.545492,7.21651,10.339123,1.187334,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.4_g0.1_Uwin1.2_Uwal0.15_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
